author1	author2	#coauthor
Wenyuan Dai	Gui-Rong Xue	2
Jianhui Chen	Betul Ceran	1
Wei Wang	Krzysztof Koperski	1
Brad Harvey	Ashok Savasere	1
Shruti Kasetty	Eamonn J. Keogh	1
Hui Yang	Wenbo Li	1
Aristides Gionis	Francesco Bonchi	2
Amin Abdulghani	Aashu Virmani	1
Douglas Thain	Nitesh V. Chawla	1
Taek-Soo Kim	Sung Young Jung	2
Henry Chiu	Wesley W. Chu	1
Balachander Krishnamurthy	Guy Jacobson	1
Amin Saberi	Jennifer T. Chayes	1
Haixun Wang	Chidanand Apte	1
Jiawei Han	Ling Feng	2
Dennis Norgaard	Albrecht Schmidt	1
Nicu D. Cornea	Paul B. Kantor	1
Zheng Zhao	Jiangxin Wang	1
Shiwei Tang	Dongqing Yang	1
Xue Li	Xin Yan	1
Zheng Zhao	Yung Chang	1
Jiawei Han	Wei Vivian Zhang	1
Qi He	Huanhuan Cao	1
Evimaria Terzi	Taneli Mielikainen	1
John Mylopoulos	Vinay K. Chaudhri	1
Tak Wah Lam	Hongjun Lu	1
Harry Zhang	Shengli Sheng	1
Kui W. Mok	Salvatore J. Stolfo	2
Rong Pan	Sinno Jialin Pan	1
Bilahari Akkiraju	Xiang Li	1
Charles X. Ling	Jingjing Lu	1
Rahul Ramachandran	Robert Atlas	1
Chabane Djeraba	Lise Getoor	1
Marlon Dumas	Marie-Christine Fauvet	1
Tias Guns	Luc De Raedt	2
Amol Ghoting	G. Li	1
King-Ip Lin	Kaizhong Zhang	1
Ke Wang	Bing Liu	2
Christos Faloutsos	Stephen Bay	1
David M. Nichols	Ian H. Witten	1
Kevin W. Bowyer	Steven Eschrich	1
Dirk Reith	Detlef Borscheid	1
Matthias Ruhl	Bay-Wei Chang	1
Kevin English	Indrajit Bhattacharya	1
Jia-Lien Hsu	Ning-Han Liu	1
Dongmei Jia	Wai Gen Yee	1
Sriram Krishnan	Cary Dehing-Oberije	1
Shuming Shi	Mingjing Li	1
Thomas Hofmann	Kris Popat	1
H. V. Jagadish	Mark A. Jones	1
Qiang Yang	Zhiyong Shen	1
